date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
7/2/19,Win Scrims Not Matches,14,Envy,16,Mirage,IEM Sydney 2019 North America Closed Qualifier,Envy,2
7/2/19,Envy,16,Win Scrims Not Matches,13,Dust2,IEM Sydney 2019 North America Closed Qualifier,Envy,3
7/2/19,Denial,16,MASSIVEimpact,10,Inferno,ESEA MDL Season 30 North America,Denial,6
7/2/19,Bad News Bears,13,Luminosity,16,Cache,IEM Sydney 2019 North America Closed Qualifier,Luminosity,3
7/2/19,Luminosity,16,Bad News Bears,14,Dust2,IEM Sydney 2019 North America Closed Qualifier,Luminosity,2
7/2/19,Quad,10,Nocturns,16,Cache,ESL LA League Season 3 - Southern Cone,Nocturns,6
7/2/19,Furious,14,All Knights,16,Inferno,ESL LA League Season 3 - Southern Cone,All Knights,2
7/2/19,Swole Patrol,16,Complexity,10,Dust2,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,6
7/2/19,Swole Patrol,16,Complexity,13,Inferno,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,3
7/2/19,Complexity,16,Swole Patrol,14,Cache,IEM Sydney 2019 North America Closed Qualifier,Complexity,2
7/2/19,eUnited,16,Ghost,14,Nuke,IEM Sydney 2019 North America Closed Qualifier,eUnited,2
7/2/19,Ghost,8,eUnited,16,Mirage,IEM Sydney 2019 North America Closed Qualifier,Ghost,8
6/2/19,paiN,16,Evidence,7,Nuke,ESL LA League Season 3 - Brazil,Evidence,9
6/2/19,Evidence,2,paiN,16,Dust2,ESL LA League Season 3 - Brazil,Evidence,14
6/2/19,Nocturns,15,Bring It On,15,Cache,ESL LA League Season 3 - Southern Cone,Bring It On,0
6/2/19,Furious,16,Young Blood,11,Inferno,ESL LA League Season 3 - Southern Cone,Furious,5
6/2/19,Turma do Pagode,13,Imperial,16,Nuke,ESL LA League Season 3 - Brazil,Imperial,3
6/2/19,Imperial,16,Turma do Pagode,6,Train,ESL LA League Season 3 - Brazil,Turma do Pagode,10
6/2/19,Bad News Bears,13,Ghost,16,Train,IEM Sydney 2019 North America Closed Qualifier,Ghost,3
6/2/19,Bad News Bears,11,Ghost,16,Dust2,IEM Sydney 2019 North America Closed Qualifier,Ghost,5
6/2/19,Win Scrims Not Matches,14,Complexity,16,Overpass,IEM Sydney 2019 North America Closed Qualifier,Complexity,2
6/2/19,Win Scrims Not Matches,16,Complexity,8,Train,IEM Sydney 2019 North America Closed Qualifier,Complexity,8
6/2/19,Valiance,9,forZe,16,Train,IEM Sydney 2019 Europe Closed Qualifier,Valiance,7
6/2/19,Valiance,8,forZe,16,Inferno,IEM Sydney 2019 Europe Closed Qualifier,Valiance,8
6/2/19,Swole Patrol,16,Envy,13,Mirage,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,3
6/2/19,eUnited,16,Luminosity,6,Inferno,IEM Sydney 2019 North America Closed Qualifier,Luminosity,10
6/2/19,Win Scrims Not Matches,5,Complexity,16,Dust2,IEM Sydney 2019 North America Closed Qualifier,Win Scrims Not Matches,11
6/2/19,Envy,12,Swole Patrol,16,Train,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,4
6/2/19,Luminosity,16,eUnited,19,Mirage,IEM Sydney 2019 North America Closed Qualifier,eUnited,3
6/2/19,forZe,15,Valiance,19,Mirage,IEM Sydney 2019 Europe Closed Qualifier,Valiance,4
6/2/19,expert,8,x-kom,16,Train,OGA Counter PIT Season 4,expert,8
6/2/19,expert,14,x-kom,16,Cache,OGA Counter PIT Season 4,x-kom,2
6/2/19,expert,16,x-kom,9,Nuke,OGA Counter PIT Season 4,x-kom,7
6/2/19,Epsilon,14,AGO,16,Cache,LOOT.BET HotShot Series Season 1,AGO,2
6/2/19,AGO,16,Epsilon,7,Train,LOOT.BET HotShot Series Season 1,Epsilon,9
6/2/19,AGO,8,Epsilon,16,Inferno,LOOT.BET HotShot Series Season 1,AGO,8
6/2/19,NoChance,16,Windigo,8,Dust2,LOOT.BET HotShot Series Season 1,Windigo,8
6/2/19,Windigo,7,NoChance,16,Mirage,LOOT.BET HotShot Series Season 1,Windigo,9
6/2/19,Vexed,16,LDLC,8,Inferno,United Masters League,LDLC,8
6/2/19,LDLC,16,Vexed,10,Cache,United Masters League,LDLC,6
6/2/19,3DMAX,16,G2,10,Cache,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,6
6/2/19,G2,7,3DMAX,16,Inferno,IEM Sydney 2019 Europe Closed Qualifier,G2,9
6/2/19,3DMAX,13,G2,16,Train,IEM Sydney 2019 Europe Closed Qualifier,G2,3
6/2/19,BIG,16,HellRaisers,4,Cache,IEM Sydney 2019 Europe Closed Qualifier,HellRaisers,12
